FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location.adminArea1,location.adminArea1Type,location.adminArea3,location.adminArea3Type,location.adminArea4,location.adminArea4Type,location.adminArea5,location.adminArea5Type,location.displayLatLng.lat,location.displayLatLng.lng,location.dragPoint,location.geocodeQuality,location.geocodeQualityCode,location.latLng.lat,location.latLng.lng,location.linkId,location.mapUrl,location.postalCode,location.sideOfStreet,location.street,location.type,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,submitter_name,updated_datetime,url,user_avata,user_name,user_token,visible
,,2014-10-28T17:41:45.215106+00:00,568,POINT (-73.9617960000000068 40.6550849999999997),,259394,US,Country,NY,State,Kings County,County,New York City,City,40.654802,-73.961655,False,ADDRESS,L1AAA,40.655085,-73.961796,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.65508526445299,-73.96179556846619,0,0|&center=40.65508526445299,-73.96179556846619&zoom=15&rand=886663193",11226,N,180A Parkside Avenue,s,suggestion,,,"It's at the bottom of the park, next to a metro station and would allow people to explore this beautiful side of the city. Also you can ride through the park on your citibike! Duh!",3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259394/support,,Edrian,2014-10-28T17:41:45.252970+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259394,,,session:2e8ef3a188e62c025606c7e3792a650c,True
,,2014-10-28T17:40:44.356510+00:00,568,POINT (-73.9666262269000043 40.7987063680999995),,259384,US,Country,NY,State,New York County,County,New York City,City,40.798708,-73.966625,False,POINT,P1CXX,40.798708,-73.966625,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.79870795,-73.9666254476841,0,0|&center=40.79870795,-73.9666254476841&zoom=15&rand=1282539163",10025,N,891 Amsterdam Avenue,s,suggestion,,,"There is a youth hostel here with over 70,000 visitors a year to New York. ",3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259384/support,,Ari Joseph,2014-10-28T17:40:44.422816+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259384,,,session:95b76aee23cb61e6698c95031fe4cc67,True
,,2014-10-28T17:40:13.239905+00:00,568,POINT (-73.7393759999999929 40.5912750000000031),,259364,US,Country,NY,State,Nassau County,County,Atlantic Beach,City,40.591308,-73.740082,False,ADDRESS,L1AAA,40.591275,-73.739376,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.59127459310215,-73.73937606811523,0,0|&center=40.59127459310215,-73.73937606811523&zoom=15&rand=1779067748",11509,N,Bay Boulevard,s,suggestion,,,,,,,Chris,2014-10-28T17:40:13.297034+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259364,,,session:b83b78dc05184e70e8c3322b93c26a0a,True
,,2014-10-28T17:39:53.936269+00:00,568,POINT (-73.9690800000000053 40.6728269999999981),,259356,US,Country,NY,State,Kings County,County,New York City,City,40.672421,-73.969285,False,ADDRESS,L1AAA,40.672827,-73.96908,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67282675532094,-73.96908044815063,0,0|&center=40.67282675532094,-73.96908044815063&zoom=15&rand=-1557413417",11238,N,Service Entry,s,suggestion,,,"Right outside of the Brooklyn Public Library and Prospect Park, accessible to several trains, and close enough to the rest of the service area that it is not too isolated.",4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259356/support,,Andrew Solomon,2014-10-28T17:39:53.963285+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259356,,,session:058491c96c0d1df9dd849c1f42c1cda8,True
,,2014-10-28T17:39:50.271687+00:00,568,POINT (-73.9542210000000040 40.7746959999999987),,259353,US,Country,NY,State,New York County,County,New York City,City,40.774833,-73.954227,False,ADDRESS,L1AAA,40.774696,-73.954221,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77469591620643,-73.95422101020813,0,0|&center=40.77469591620643,-73.95422101020813&zoom=15&rand=-385206112",10028,N,East 81st Street,s,suggestion,,,The Upper East Side Needs CitiBike!!,,,,Ashley Vu,2014-10-28T17:39:50.318876+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259353,,,session:698045d8349549df1afb34f02fb0ab3c,True
,,2014-10-28T17:39:13.745328+00:00,568,POINT (-73.9647250000000014 40.6399770000000018),,259343,US,Country,NY,State,Kings County,County,New York City,City,40.640006,-73.964886,False,ADDRESS,L1AAA,40.639977,-73.964725,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.639976863205234,-73.96472454071045,0,0|&center=40.639976863205234,-73.96472454071045&zoom=15&rand=1292837083",11226,N,399 Rugby Road,s,suggestion,,,South Brooklyn is vastly underrepresented in the system so far. ,,,,Ari Joseph,2014-10-28T17:39:13.815513+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259343,,,session:95b76aee23cb61e6698c95031fe4cc67,True
,,2014-10-28T17:38:53.861583+00:00,568,POINT (-73.9527479999999997 40.7889959999999974),,259338,US,Country,NY,State,New York County,County,New York City,City,40.78859,-73.952381,False,ADDRESS,L1AAA,40.788996,-73.952748,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.78899600525433,-73.95274847745894,0,0|&center=40.78899600525433,-73.95274847745894&zoom=15&rand=-310872954",10029,N,1425 Madison Avenue,s,suggestion,,,"Mt Sinai employees, doctors, nurses, etc would find it very useful to have a station here",1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259338/support,,Apollo Spiliotis,2014-10-28T17:38:53.899726+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259338,,,session:9796918635d2d1d07d517d96506b6f0c,True
,,2014-10-28T17:38:52.576121+00:00,568,POINT (-73.9548329999999936 40.7943849999999983),,259337,US,Country,NY,State,New York County,County,New York City,City,40.794127,-73.956384,False,ADDRESS,L1AAA,40.794385,-73.954833,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.79438541169028,-73.95483255386353,0,0|&center=40.79438541169028,-73.95483255386353&zoom=15&rand=-406891613",10026,N,Central Park 102 Center Drive,s,suggestion,,,"When you're riding the loop around the park, it'd be nice to be able to add some time without hauling ass back down to Central Park South.",2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259337/support,,Dave,2014-10-28T17:38:52.608639+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259337,,,session:b08d229b8e5252ecb6af75af49a735d0,True
,,2014-10-28T17:38:46.215809+00:00,568,POINT (-73.9698690000000028 40.6730590000000021),,259333,,Country,,State,,County,,City,40.673059,-73.969869,False,LATLNG,XXXXX,40.673059,-73.969869,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67305866557798,-73.96986901760101,0,0|&center=40.67305866557798,-73.96986901760101&zoom=15&rand=-1700585981",,N,,s,suggestion,,,"farmers market, food truck sundays, lots of families in the park",,,,prospect park,2014-10-28T17:38:46.254820+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259333,,,session:50a378d4045ade65da7b1888adc46a95,True
,,2014-10-28T17:38:06.778235+00:00,568,POINT (-73.9892179999999939 40.6752600000000015),,259319,US,Country,NY,State,Kings County,County,New York City,City,40.675116,-73.988588,False,ADDRESS,L1AAA,40.67526,-73.989218,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.675259738559575,-73.98921847343445,0,0|&center=40.675259738559575,-73.98921847343445&zoom=15&rand=274483365",11215,N,214 3rd Street,s,suggestion,,,Biking to and from Whole Food would be fantastically convenient.,17,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259319/support,,Brian,2014-10-28T17:38:06.816125+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259319,,,session:87ded910ab89399cd6bcc8727d8aa09e,True
