FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
2902,3,2014-08-04T15:49:40.508629+00:00,568,POINT (-73.8100560000000030 40.7714289999999977),0,236918,previous-suggestion,Murray Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.511199+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236918,,Ryan,True
2900,3,2014-08-04T15:49:40.453334+00:00,568,POINT (-73.8456759999999974 40.7877300000000034),0,236917,previous-suggestion,College Point,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.463104+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236917,,Ryan,True
2901,3,2014-08-04T15:49:40.418627+00:00,568,POINT (-73.8239180000000061 40.7815360000000027),0,236916,previous-suggestion,Malba,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.421056+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236916,,Ryan,True
2899,3,2014-08-04T15:49:40.351976+00:00,568,POINT (-73.8383800000000008 40.7752839999999992),0,236915,previous-suggestion,College Point,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.354294+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236915,,Ryan,True
2898,4,2014-08-04T15:49:40.294519+00:00,568,POINT (-73.8437610000000006 40.7215539999999976),0,236914,previous-suggestion,Forest Hills,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236914/support,,2014-08-04T15:49:40.297048+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236914,,Andy Lam,True
2897,5,2014-08-04T15:49:40.212634+00:00,568,POINT (-73.9767820000000000 40.6815240000000031),0,236913,previous-suggestion,Prospect Heights,9/17/2011 0:00:00,I live close!,,,,2014-08-04T15:49:40.216320+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236913,,Brianne,True
2896,0,2014-08-04T15:49:40.203968+00:00,568,POINT (-73.9818680000000057 40.7733830000000026),0,236912,previous-suggestion,Upper West Side,,There is already significant open space in this park,7,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236912/support,,2014-08-04T15:49:40.207523+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236912,,AJ,True
2894,2,2014-08-04T15:49:40.112244+00:00,568,POINT (-73.9594759999999951 40.6763249999999985),0,236911,previous-suggestion,Crown Heights,9/17/2011 0:00:00,It would be nice for once to have access to bikes in a part of the borough that doesn't get as much attention like that of PARK SLOPE! This neighborhood boast many residents moving from all over the city to be in Crown Heights and I believe that we dese,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236911/support,,2014-08-04T15:49:40.116054+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236911,,MJ,True
2895,0,2014-08-04T15:49:40.085926+00:00,568,POINT (-73.9684139999999957 40.7907349999999980),0,236910,previous-suggestion,Upper West Side,,I live here,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236910/support,,2014-08-04T15:49:40.089266+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236910,,Arun,True
2893,0,2014-08-04T15:49:39.998493+00:00,568,POINT (-73.9418490000000048 40.7145489999999981),0,236909,previous-suggestion,Williamsburg,,It would be great to have a station near public transit spots (Grand St. on the L train),,,,2014-08-04T15:49:40.003163+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236909,,Holly,True
2891,4,2014-08-04T15:49:39.936340+00:00,568,POINT (-73.8840849999999989 40.7173779999999965),0,236908,previous-suggestion,New York,9/29/2011 0:00:00,,,,,2014-08-04T15:49:39.939957+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236908,,,True
2892,5,2014-08-04T15:49:39.837075+00:00,568,POINT (-73.8716820000000070 40.7132799999999975),0,236907,previous-suggestion,New York,9/29/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236907/support,,2014-08-04T15:49:39.858355+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236907,,,True
2890,0,2014-08-04T15:49:39.803233+00:00,568,POINT (-73.9554530000000057 40.6697739999999968),0,236906,previous-suggestion,Crown Heights,,People can take the 2/3/4/5 to Franklin Avenue,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236906/support,,2014-08-04T15:49:39.810982+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236906,,Liz,True
2889,4,2014-08-04T15:49:39.781619+00:00,568,POINT (-73.9731239999999985 40.7849840000000015),0,236905,previous-suggestion,Upper West Side,9/17/2011 0:00:00,It is on Columbus Avenue and provides direct access to the bike lane there.,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236905/support,,2014-08-04T15:49:39.785687+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236905,http://graph.facebook.com/100000425625109/picture?type=large,Theo Cooper,True
2888,1,2014-08-04T15:49:39.635865+00:00,568,POINT (-73.9391880000000015 40.8027069999999981),0,236904,previous-suggestion,East Harlem,9/29/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236904/support,,2014-08-04T15:49:39.638433+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236904,,,True
2887,4,2014-08-04T15:49:39.601963+00:00,568,POINT (-73.9722759999999937 40.6772130000000018),0,236903,previous-suggestion,Prospect Heights,9/17/2011 0:00:00,It is next to a subway station and will serve a lot of people.,9,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236903/support,,2014-08-04T15:49:39.605004+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236903,,jp,True
