FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.comments.length,submission_sets.comments.url,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
2700,0,2014-08-04T15:49:29.204205+00:00,568,POINT (-73.9068299999999994 40.8864990000000006),0,236717,previous-suggestion,Kingsbridge,,I want a bike share here because it is near a bunch of bus routes that run along Riverdale Ave,,,,,,2014-08-04T15:49:29.206912+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236717,,Brendan,True
2698,14,2014-08-04T15:49:29.097701+00:00,568,POINT (-73.9905360000000059 40.6603009999999969),0,236716,previous-suggestion,Windsor Terrace,9/16/2011 0:00:00,Good restaurants here,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236716/support,,2014-08-04T15:49:29.100429+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236716,,Brian,True
2697,4,2014-08-04T15:49:29.059490+00:00,568,POINT (-73.9416130000000038 40.8302490000000020),0,236715,previous-suggestion,Hamilton Heights,9/16/2011 0:00:00,Good access to the subway and the Harlem River Drive Park,,,,,,2014-08-04T15:49:29.063133+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236715,,Alden,True
2695,2,2014-08-04T15:49:28.934665+00:00,568,POINT (-73.9204990000000066 40.8678730000000030),0,236714,previous-suggestion,Inwood,9/16/2011 0:00:00,My Neighborhood,,,,,,2014-08-04T15:49:28.962297+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236714,,Alden,True
2696,13,2014-08-04T15:49:28.932612+00:00,568,POINT (-73.9635640000000052 40.7205659999999980),0,236713,previous-suggestion,Williamsburg,9/16/2011 0:00:00,To get to an from the ferry from Greenpoint!,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236713/support,,2014-08-04T15:49:28.935581+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236713,,Ed,True
2694,5,2014-08-04T15:49:28.887553+00:00,568,POINT (-73.9920170000000041 40.6669419999999988),0,236712,previous-suggestion,Gowanus,9/16/2011 0:00:00,It will maximize safe use of 4th avenue for everyone,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236712/support,,2014-08-04T15:49:28.894004+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236712,,,True
2693,6,2014-08-04T15:49:28.847518+00:00,568,POINT (-73.9664819999999992 40.7648080000000022),0,236711,previous-suggestion,Upper East Side,9/16/2011 0:00:00,,,,6,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236711/support,,2014-08-04T15:49:28.850758+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236711,,Chris Ellis,True
2692,0,2014-08-04T15:49:28.758756+00:00,568,POINT (-73.9612900000000053 40.7315910000000017),0,236710,previous-suggestion,Greenpoint,,People who use the East River Ferry to come to/from Greenpoint can pick up a bike when they disembark and use it to get around for the day before hopping a ferry back to wherever they came from. OR they can take the bike with them on the boat,,,,,,2014-08-04T15:49:28.761098+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236710,,Mary,True
2691,2,2014-08-04T15:49:28.725556+00:00,568,POINT (-73.9743359999999939 40.6736489999999975),0,236709,previous-suggestion,Park Slope,9/16/2011 0:00:00,major shopping area,,,,,,2014-08-04T15:49:28.728033+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236709,,arthur strimling,True
2690,2,2014-08-04T15:49:28.702992+00:00,568,POINT (-73.9478359999999952 40.7843340000000012),0,236708,previous-suggestion,Upper East Side,9/16/2011 0:00:00,Transportation on 2nd ave is horrible with all the construction,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236708/support,,2014-08-04T15:49:28.709896+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236708,,Steve,True
2689,2,2014-08-04T15:49:28.604783+00:00,568,POINT (-73.9475999999999942 40.7843670000000031),0,236707,previous-suggestion,Upper East Side,9/16/2011 0:00:00,We get forgotten about living in this part of town,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236707/support,,2014-08-04T15:49:28.607674+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236707,,Lori,True
2688,4,2014-08-04T15:49:28.573146+00:00,568,POINT (-73.9238890000000026 40.7018289999999965),0,236706,previous-suggestion,Bushwick,9/16/2011 0:00:00,This park is very popular and will need a kiosk. Take a few spots on Knickerbocker Ave; it's a one-way and can lose 2 car spots for 50 bike spots.,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236706/support,,2014-08-04T15:49:28.576659+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236706,,Bryce,True
2686,4,2014-08-04T15:49:28.572138+00:00,568,POINT (-73.9475999999999942 40.7845129999999969),0,236705,previous-suggestion,Upper East Side,9/16/2011 0:00:00,Living on second ave. with the subway construction makes taking the bus very hard.,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236705/support,,2014-08-04T15:49:28.574839+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236705,,Gary,True
2687,0,2014-08-04T15:49:28.540111+00:00,568,POINT (-73.9010789999999957 40.8682629999999989),0,236704,previous-suggestion,Kingsbridge Heights,,You can easily go north or south in the Bronx easily from here. There are also many attractions in this area like Van Cortlandt park,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236704/support,,2014-08-04T15:49:28.542742+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236704,,Stephanie,True
2685,7,2014-08-04T15:49:28.439606+00:00,568,POINT (-73.9276870000000059 40.7441120000000012),0,236703,previous-suggestion,Sunnyside,9/16/2011 0:00:00,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236703/support,,2014-08-04T15:49:28.442067+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236703,,,True
2683,0,2014-08-04T15:49:28.337054+00:00,568,POINT (-73.9706240000000008 40.6717920000000035),0,236702,previous-suggestion,Prospect Heights,,This is a good location because it is near: the park,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236702/support,,2014-08-04T15:49:28.340520+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236702,,,True
2684,0,2014-08-04T15:49:28.316454+00:00,568,POINT (-73.9566750000000042 40.7907360000000025),0,236701,previous-suggestion,Upper East Side,,Right by the dust bowl,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236701/support,,2014-08-04T15:49:28.318803+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236701,,Jeff,True
2682,7,2014-08-04T15:49:28.255634+00:00,568,POINT (-73.9728980000000007 40.6778139999999979),0,236700,previous-suggestion,Prospect Heights,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236700/support,,2014-08-04T15:49:28.258370+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236700,,Anthony,True
2681,3,2014-08-04T15:49:28.203500+00:00,568,POINT (-73.8790209999999945 40.8749320000000012),0,236699,previous-suggestion,Norwood,9/16/2011 0:00:00,The D train is a very popular train and this stop is the very last,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236699/support,,2014-08-04T15:49:28.212386+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236699,,Matt,True
2680,7,2014-08-04T15:49:28.174467+00:00,568,POINT (-73.9239960000000025 40.7441120000000012),0,236698,previous-suggestion,Sunnyside,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236698/support,,2014-08-04T15:49:28.177552+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236698,,,True
2679,1,2014-08-04T15:49:28.131869+00:00,568,POINT (-73.8377360000000067 40.8581039999999973),0,236697,previous-suggestion,Pelham Bay,9/16/2011 0:00:00,It's perfect for pelham parkway because if you dont have a bike you can't fully enjoy the scenery.,,,,,,2014-08-04T15:49:28.134325+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236697,,Vivian,True
2678,5,2014-08-04T15:49:28.105386+00:00,568,POINT (-73.9262279999999947 40.7441120000000012),0,236696,previous-suggestion,Sunnyside,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236696/support,,2014-08-04T15:49:28.109352+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236696,,,True
2677,3,2014-08-04T15:49:28.004104+00:00,568,POINT (-73.9734349999999949 40.7919920000000005),0,236695,previous-suggestion,Upper West Side,9/16/2011 0:00:00,,,,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236695/support,,2014-08-04T15:49:28.006388+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236695,,,True
